id,domain_id,scrap_id,inference_id,ocr_id,keyword_user,url,is_amp,crawl_engine,status_code,timestamp_crawl
2534051c-7a4f-4821-b8e7-55f31eb91a43,2e5c89a8-7cc3-4c9b-8d65-c602ff12a7d3,095c5ef1-0a36-4da6-8276-e4a5743573ec,,,gacor888,https://davidkimforca.com/meet-david/?__cf_chl_rt_tk=C9fvM5J_7HwqE2zhGcb3TFzyVV5URt0ba3G2eEGULn8-1767778626-1.0.1.1-9yVRRHNEjyIzhUO5F2rJM.mf63.JfzbIn8MunbmvaFo,f,serp-api_google,403,2026-01-07 16:37:48.35071
056a8f59-f530-4909-a28f-3dbc5706419b,fda135ae-7c67-4d5f-a352-61f6cd5ebba1,93fa8b2b-dafe-422d-95d8-71324c5f0b64,,,gacor888,https://www.newgoldenpacificholbrook.com/menu,f,serp-api_google,200,2026-01-07 16:37:48.35071
6f736feb-37a6-42fb-ac5a-df57532f78f6,c11437f5-ba6d-41fb-9b55-997193f745d5,c0797971-ec1a-40d4-9165-73c9cf170f45,,,gacor888,https://www.tuttons.com/menus,f,serp-api_google,403,2026-01-07 16:37:48.35071
d75f570a-c637-4b37-bcb4-ff6d7c221663,17a760ec-70d3-43d4-8f91-9b9bc14efc32,cf6c07b4-a2d5-4183-b74a-4503dbc59a3c,,,gacor888,https://lthservis.mk/shortcodes/,f,serp-api_google,200,2026-01-07 16:37:48.35071
96f2322a-843a-415a-866c-00fc44d42d86,d33993fd-ccf3-4a90-be49-57fe0f97a07b,cd5afa7e-2b12-42b4-84a7-c8b702bd27f4,,,gacor888,https://www.patagoniagrillhouston.com/menu/?__cf_chl_rt_tk=g8YBfSVJkAZdvhiX8Szq5o_alomvZ2NOC6xKauXDztU-1767778635-1.0.1.1-TKgxZjKHX6swIxlH3rRz6F16tsWKVInbnoxCiAr49HQ,f,serp-api_google,403,2026-01-07 16:37:48.35071
d89e30ac-c4a0-41a3-b00d-d027b8aacce2,f7c65c63-59fa-4a8e-ac36-1207b27a9dce,cc77665b-9246-4159-a01f-3201d2da7d4d,,,gacor888,https://www.kirkstallbrewery.com/events,f,serp-api_google,403,2026-01-07 16:37:48.35071
9ba3628a-29e4-423a-b062-2ba29f965324,1b04ebae-9d06-4b04-bcf9-4aed6b3cacb3,2a67a21e-357f-42f4-8e83-834de758f4e3,,,gacor888,https://assisttexas.org/about/membership/,f,serp-api_google,200,2026-01-07 16:37:48.35071
a1b6a538-8d60-4f89-8739-6178c22024b3,55db8105-b847-4441-9721-6a62e6b7b006,45e2f629-3e5e-4993-a770-862bc7b120cf,,,gacor888,https://www.figoitalian.com/menu,f,serp-api_google,200,2026-01-07 16:37:48.35071
3f938230-1dc5-4faa-a8a1-8134a989e2c1,f68acc29-a88a-4d52-b448-cd12bb32ab80,cb161fc6-428d-48d9-94c0-a5cb3fa6c346,,,gacor888,https://shadowcatsbaseball.com/ownership/,f,serp-api_google,403,2026-01-07 16:37:48.35071
0b46023b-acc7-442e-81bf-bceed8b816c9,29a91232-dbba-4faf-b12f-7226418ee405,502d40b4-e644-4d2c-9edd-e0af7acfcd56,,,gacor888,https://journal.assyfa.com/,f,serp-api_google,200,2026-01-07 16:37:48.35071
52c26edf-b24e-4eb4-ae5c-ede081f88dcb,b5645833-57a8-4165-b9d2-0acbdaf77d4c,50d07e10-3123-4208-bdba-c40aee5c9dd0,,,slot gacor hari ini,https://www.flybynightsteakhouse.com/menu/,f,serp-api_google,403,2026-01-07 16:44:03.824863
310bf3dc-e4fe-4a51-9be9-22fbeb1408eb,62fc8a75-5acc-4788-9c8b-1c08b86943fd,06aba451-441e-43d3-93fa-3c840cb8f170,,,slot gacor hari ini,https://appgrad.neelain.edu.sd/,f,serp-api_google,403,2026-01-07 16:44:03.824863
04073e87-9677-4c73-b096-78541a5f710e,ecade08f-86ef-41f5-abb3-d753c8669adc,de922617-79a1-49e4-9476-17bcbff658d2,,,slot gacor hari ini,https://www.the5thnovi.com/menu.html,f,serp-api_google,200,2026-01-07 16:44:03.824863
34f24520-0730-4641-b573-f409577899d1,d6b72292-3421-4c6e-8762-a782bf6a7513,69a677a4-313a-4c88-9340-8dbe252bfbe1,,,slot gacor hari ini,https://www.yoshiwilmington.com/menu,f,serp-api_google,200,2026-01-07 16:44:03.824863
1ee084b4-01ed-46d4-a86e-7a2154c02a43,bfaa7ade-0d59-44bb-9e97-61e3be08b51f,66b22206-dccf-4314-8014-5a5a55e389fd,,,slot gacor hari ini,https://laserpulse.org/,f,serp-api_google,200,2026-01-07 16:44:03.824863
6ca22835-066f-4022-872b-a045a6fee42b,0c66a55b-c281-4fa9-84a3-610449d08891,a4eb040a-be71-406f-9456-66ea7296aff0,,,slot gacor hari ini,https://www.gsdinternational.com/es,f,serp-api_google,200,2026-01-07 16:44:03.824863
836d95a4-326d-4130-9b14-9bd5e9c0fe25,49392990-5da3-460b-b168-ac83770a94b4,307751af-14fa-410a-a1ff-cc2e4a45b47f,,,slot gacor hari ini,https://www.arboretum.purdue.edu/,f,serp-api_google,200,2026-01-07 16:44:03.824863
727d56f5-4aef-435d-a513-b16ed6826d01,ecde3032-4ae3-4f78-9e69-369389c4cf63,70a70ce4-1fd5-458e-b8fd-5f23de42ab78,,,slot gacor hari ini,https://www.spivakdental.com/meet-the-doctor/?__cf_chl_rt_tk=AUtJ_inRFkRMfnPMUPJFWCOtGbJ0SrXs9pHIctU4faM-1767779025-1.0.1.1-Gwyr8p1SkBqFL5T63oCe3DySBrmeSGsx7bmu9ocbCSI,f,serp-api_google,403,2026-01-07 16:44:03.824863
